,Unnamed: 0,Away,Away_Score,Location,Home,Home_Score,OT,Notes,Date,Conference,Season,simpleElo_Away,simpleElo_Home,simpleElo_Error
36716,53332,SAIT Polytechnic,0,at,Alaska-Anchorage,9,,,2009-10-02,Exhibition,2010,1487.5,1512.5,0.25
36717,53345,Royal Military,2,at,Connecticut,7,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36718,53346,Ryerson,1,at,Michigan Tech,3,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36719,53347,Calgary,2,at,Colorado College,4,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36720,53344,Nipissing,1,at,Lake Superior,7,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36721,53349,Lethbridge,3,at,Minnesota State,4,ot,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36722,53350,US Under-18,2,at,Michigan,4,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36723,53348,British Columbia,0,at,Minnesota-Duluth,4,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36724,53343,SAIT Polytechnic,1,at,Alaska,6,,,2009-10-03,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36725,53351,Windsor,2,at,Miami,6,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36726,53341,Prince Ed. Isl.,3,at,Rensselaer,3,ot,,2009-10-03,Exhibition,2010,1500.0,1500.0,0.0
36727,53334,Wilfrid Laurier,3,at,Bowling Green,7,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36728,53335,York,2,at,Niagara,5,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36729,53336,New Brunswick,3,at,Massachusetts,2,,,2009-10-03,Exhibition,2010,1512.5,1487.5,0.25
36730,53342,Waterloo,3,at,Colgate,6,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36731,53338,Acadia,1,at,New Hampshire,8,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36732,53339,St. Francis Xav.,2,at,Boston University,2,ot,,2009-10-03,Exhibition,2010,1500.0,1500.0,0.0
36733,53340,Toronto,1,at,Clarkson,6,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36734,53337,St. Thomas,5,at,Northeastern,7,,,2009-10-03,Exhibition,2010,1487.5,1512.5,0.25
36735,53362,Prince Ed. Isl.,3,at,Quinnipiac,4,,,2009-10-04,Exhibition,2010,1487.5,1512.5,0.25
36736,53369,Manitoba,1,at,North Dakota,7,,,2009-10-04,Exhibition,2010,1487.5,1512.5,0.25
36737,53368,Calgary,2,at,Denver,3,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36738,53367,Lethbridge,3,at,St. Cloud State,4,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36739,53366,Windsor,2,at,Michigan,6,,,2009-10-04,Exhibition,2010,1475.9,1524.1,0.21537402686322366
36740,53365,St. Francis Xav.,1,at,Boston College,4,,,2009-10-04,Exhibition,2010,1487.5,1512.5,0.25
36741,53363,British Columbia,1,at,Minnesota,6,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36742,53361,Acadia,0,at,Mass.-Lowell,3,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36743,53364,UOIT,2,at,Mercyhurst,3,,,2009-10-04,Exhibition,2010,1487.5,1512.5,0.25
36744,53359,Toronto,1,at,St. Lawrence,2,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36745,53358,St. Thomas,5,at,Sacred Heart,3,,,2009-10-04,Exhibition,2010,1500.45,1487.05,0.26830451150806195
36746,53357,Royal Military,3,at,Holy Cross,12,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36747,53356,Ryerson,2,at,Northern Michigan,11,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36748,53355,York,2,at,RIT,3,,,2009-10-04,Exhibition,2010,1475.45,1512.05,0.2323421347625318
36749,53354,Wilfrid Laurier,3,at,Ferris State,1,,,2009-10-04,Exhibition,2010,1500.45,1487.05,0.26830451150806195
36750,53353,Western Ontario,3,at,Ohio State,2,ot,,2009-10-04,Exhibition,2010,1512.5,1487.5,0.25
36751,53360,New Brunswick,3,at,Vermont,2,ot,,2009-10-04,Exhibition,2010,1524.55,1487.95,0.2323421347625318
36752,53371,Calgary,1,at,Air Force,3,,,2009-10-05,Exhibition,2010,1463.83,1511.62,0.21597247943752051
36753,53372,Western Ontario,2,at,Michigan State,5,,,2009-10-05,Exhibition,2010,1499.55,1512.95,0.26830451150806195
36754,53373,Lethbridge,1,at,Nebraska-Omaha,2,,,2009-10-05,Exhibition,2010,1463.83,1511.62,0.21597247943752051
36755,53376,Quinnipiac,4,at,Ohio State,2,,Box,2009-10-08,Non-Conference,2010,1524.1,1475.9,0.21537402686322366
36756,53375,Rensselaer,2,at,Massachusetts,5,,Box,2009-10-08,Non-Conference,2010,1487.05,1500.45,0.26830451150806206
36757,53401,Queen's,4,at,Robert Morris,8,,,2009-10-09,Exhibition,2010,1487.5,1512.5,0.25
36758,53400,US Under-18,3,at,Boston College,6,,,2009-10-09,Exhibition,2010,1475.9,1524.1,0.21537402686322366
36759,53399,New Brunswick,6,at,Providence,3,,,2009-10-09,Exhibition,2010,1536.17,1488.38,0.21597247943752046
36760,53397,Merrimack,2,at,North Dakota,5,,Box,2009-10-09,Non-Conference,2010,1487.95,1524.55,0.2323421347625318
36761,53396,Bowling Green,2,at,Minnesota State,3,,Box,2009-10-09,Non-Conference,2010,1500.0,1525.0,0.25
36762,53395,Northeastern,2,at,Colorado College,4,,Box,2009-10-09,Non-Conference,2010,1500.0,1525.0,0.25
36763,53394,Vermont,4,at,Denver,5,,Box,2009-10-09,Non-Conference,2010,1476.32,1523.68,0.216571871904908
36764,53393,Air Force,1,at,Bemidji State,3,,Box,2009-10-09,Non-Conference,2010,1498.7,1512.92,0.2669957263300385
36765,53392,Alabama-Huntsville,3,at,Notre Dame,2,,Box,2009-10-09,Non-Conference,2010,1512.5,1487.5,0.25
36766,53390,Northern Michigan,3,at,Michigan Tech,5,,Box,2009-10-09,Non-Conference,2010,1499.57,1524.98,0.24935281769267995
36767,53391,St. Cloud State,2,at,Miami,3,ot,Box,2009-10-09,Non-Conference,2010,1499.57,1524.98,0.24935281769267995
36768,53378,Michigan,0,vs.,Alaska,2,,Box,2009-10-09,"Kendall Hockey Classic (at Sullivan Arena, Anchorage, Alaska)",2010,1511.17,1524.98,0.2676348753076028
36769,53388,Quinnipiac,3,at,Ohio State,1,,Box,2009-10-09,Non-Conference,2010,1534.88,1465.12,0.18582671762535005
36770,53387,Clarkson,1,at,Michigan State,6,,Box,2009-10-09,Non-Conference,2010,1500.02,1525.43,0.24935281769267995
36771,53386,Ferris State,5,at,Canisius,1,,Box,2009-10-09,Non-Conference,2010,1500.02,1487.03,0.2689749218987884
36772,53385,Maine,1,at,Union,4,,Box,2009-10-09,Non-Conference,2010,1487.5,1512.5,0.25
36773,53384,Colgate,4,at,Niagara,4,ot,Box,2009-10-09,Non-Conference,2010,1512.5,1512.5,0.0
36774,53382,Army,4,at,Nebraska-Omaha,6,,Box,2009-10-09,"Ice Breaker (at CenturyLink Center Omaha, Omaha, Neb.)",2010,1487.92,1523.7,0.23356314250071403
36775,53381,Mass.-Lowell,3,vs.,St. Lawrence,0,,Box,2009-10-09,"Ice Breaker (at CenturyLink Center Omaha, Omaha, Neb.)",2010,1524.55,1499.55,0.25
36776,53379,Mercyhurst,3,at,Alaska-Anchorage,5,,Box,2009-10-09,"Kendall Hockey Classic (at Sullivan Arena, Anchorage, Alaska)",2010,1500.0,1525.0,0.25
36777,53389,Lake Superior,3,at,Minnesota-Duluth,4,,Box,2009-10-09,Non-Conference,2010,1500.0,1525.0,0.25
36778,53417,Air Force,3,at,Bemidji State,7,,Box,2009-10-10,Non-Conference,2010,1486.71,1524.91,0.22996551140283242
36779,53418,Bowling Green,1,at,Minnesota State,4,,Box,2009-10-10,Non-Conference,2010,1488.4,1536.6,0.21537402686322366
36780,53419,Merrimack,2,at,North Dakota,3,,Box,2009-10-10,Non-Conference,2010,1476.76,1535.74,0.2002762456665023
36781,53416,Colgate,3,vs.,RIT,2,,Box,2009-10-10,Non-Conference,2010,1524.98,1499.57,0.24935281769268
36782,53421,Northeastern,4,at,Colorado College,3,,Box,2009-10-10,Non-Conference,2010,1513.4,1511.6,0.2872058807534282
36783,53423,US Under-18,2,at,Boston University,3,,,2009-10-10,Exhibition,2010,1464.27,1511.63,0.216571871904908
36784,53424,Queen's,2,at,Robert Morris,3,,,2009-10-10,Exhibition,2010,1475.9,1524.1,0.21537402686322366
36785,53420,Vermont,6,at,Denver,4,,Box,2009-10-10,Non-Conference,2010,1490.51,1509.49,0.3223258559751336
36786,53415,Clarkson,3,at,Michigan State,4,,Box,2009-10-10,Non-Conference,2010,1488.43,1537.02,0.2148295896431605
36787,53413,Alabama-Huntsville,1,at,Notre Dame,3,,Box,2009-10-10,Non-Conference,2010,1499.1,1500.9,0.2872058807534282
36788,53403,Mercyhurst,1,vs.,Alaska,5,,Box,2009-10-10,"Kendall Hockey Classic (at Sullivan Arena, Anchorage, Alaska)",2010,1488.4,1536.58,0.21540060477613415
36789,53412,St. Cloud State,0,at,Miami,2,,Box,2009-10-10,Non-Conference,2010,1487.98,1536.57,0.2148295896431605
36790,53411,Maine,3,at,Union,6,,Box,2009-10-10,Non-Conference,2010,1475.9,1524.1,0.21537402686322366
36791,53410,New Hampshire,1,at,Rensselaer,3,,Box,2009-10-10,Non-Conference,2010,1499.09,1500.46,0.2878967701018633
36792,53409,Holy Cross,1,at,Providence,2,,Box,2009-10-10,Non-Conference,2010,1498.7,1501.73,0.2851680307876661
36793,53407,Mass.-Lowell,3,at,Nebraska-Omaha,4,,Box,2009-10-10,"Ice Breaker (at CenturyLink Center Omaha, Omaha, Neb.)",2010,1512.02,1536.23,0.25122474222064506
36794,53406,St. Lawrence,5,vs.,Army,2,,Box,2009-10-10,"Ice Breaker (at CenturyLink Center Omaha, Omaha, Neb.)",2010,1511.63,1475.84,0.23354924824521311
36795,53404,Michigan,6,at,Alaska-Anchorage,1,,Box,2009-10-10,"Kendall Hockey Classic (at Sullivan Arena, Anchorage, Alaska)",2010,1524.17,1512.0,0.2702881745248205
36796,53414,Ferris State,0,at,Canisius,1,,Box,2009-10-10,Non-Conference,2010,1487.05,1500.0,0.2690345513170743
36797,53426,Lake Superior,3,at,Michigan Tech,1,,Box,2009-10-11,Non-Conference,2010,1513.4,1511.58,0.2871751908251173
36798,53427,Northern Michigan,3,at,Minnesota-Duluth,1,,Box,2009-10-11,Non-Conference,2010,1512.98,1511.59,0.28786604904735436
36799,53429,Denver,2,at,Ohio State,0,,Box,2009-10-15,Non-Conference,2010,1520.4,1454.21,0.19052467158032224
36800,53430,Providence,3,at,Notre Dame,2,,Box,2009-10-15,Non-Conference,2010,1514.2,1488.43,0.24880696299891258
36801,53448,Denver,0,at,Ohio State,4,,Box,2009-10-16,Non-Conference,2010,1505.55,1469.06,0.35297757110562566
36802,53450,Alabama-Huntsville,4,at,Air Force,2,,Box,2009-10-16,Non-Conference,2010,1511.15,1474.66,0.2324945739021601
36803,53447,Bentley,2,at,Northeastern,3,,Box,2009-10-16,Non-Conference,2010,1487.98,1525.42,0.231096915948244
36804,53451,Connecticut,1,at,Ferris State,2,,Box,2009-10-16,Non-Conference,2010,1499.09,1500.46,0.2878967701018633
36805,53446,Miami,6,at,New Hampshire,3,,Box,2009-10-16,Non-Conference,2010,1547.73,1487.93,0.19915709598447937
36806,53453,Mercyhurst,1,at,Western Michigan,5,,Box,2009-10-16,Non-Conference,2010,1476.32,1512.08,0.23359093233177228
36807,53454,Providence,0,at,Notre Dame,2,,Box,2009-10-16,Non-Conference,2010,1500.77,1501.86,0.28838849456424914
36808,53456,US Under-18,7,at,Bowling Green,2,,,2009-10-16,Exhibition,2010,1477.64,1475.03,0.285872153334843
36809,53452,Union,3,at,St. Cloud State,3,ot,Box,2009-10-16,Non-Conference,2010,1522.81,1489.27,0.0026826592688233017
36810,53445,Holy Cross,1,at,Merrimack,3,,Box,2009-10-16,Non-Conference,2010,1485.41,1490.05,0.28252658088173427
36811,53449,Canisius,4,at,Lake Superior,5,,Box,2009-10-16,Non-Conference,2010,1487.98,1525.42,0.231096915948244
36812,53443,Michigan State,5,at,Maine,3,,Box,2009-10-16,Non-Conference,2010,1547.34,1465.58,0.1705173860647407
36813,53432,Boston University,2,at,Massachusetts,3,,Box,2009-10-16,Hockey East,2010,1498.73,1513.35,0.2663424497456107
36814,53435,Colorado College,3,at,Wisconsin,2,,Box,2009-10-16,WCHA,2010,1523.68,1487.92,0.23359093233177228
36815,53436,Minnesota,0,at,North Dakota,4,,Box,2009-10-16,WCHA,2010,1500.4,1547.39,0.21711880203637643
36816,53438,Rensselaer,0,vs.,Alaska-Anchorage,3,,Box,2009-10-16,"Alaska Goal Rush (at Sullivan Arena, Anchorage, Alaska)",2010,1488.38,1524.08,0.23367431238392025
36817,53434,Minnesota State,2,at,Minnesota-Duluth,5,,Box,2009-10-16,WCHA,2010,1523.2,1524.99,0.287221226237341
36818,53444,RIT,1,at,St. Lawrence,3,,Box,2009-10-16,Non-Conference,2010,1487.5,1523.7,0.23295221181428777
36819,53441,Niagara,3,at,Clarkson,4,ot,Box,2009-10-16,Non-Conference,2010,1499.14,1501.79,0.2857802693085101
36820,53442,Nebraska-Omaha,1,at,Colgate,1,ot,Box,2009-10-16,Non-Conference,2010,1535.83,1525.38,0.0002619346590052883
